time_epoch_s,time_local,t_elapsed_s,meas1_raw_dBm,meas2_raw_dBm,meas3_raw_dBm,meas1_corr_dBm,meas2_corr_dBm,meas3_corr_dBm,sim_W,sim_dBm
1760541662.123760,2025-10-15 17:21:02,48.450255,-61.966612,-66.4050704,-62.1374448,-61.966612,-66.4050704,-62.1374448,49.6442564542216,46.95869010444177
1760541662.131759,2025-10-15 17:21:02,48.458253,-61.9753518,-66.4050704,-62.1374448,-61.9753518,-66.4050704,-62.1374448,49.19122038152468,46.91887597074223
1760541662.159760,2025-10-15 17:21:02,48.486254,-61.9753518,-66.4050704,-62.1328791,-61.9753518,-66.4050704,-62.1328791,47.628723139599465,46.77868938831364
1760541662.173758,2025-10-15 17:21:02,48.500252,-61.9753518,-66.5234997,-62.1328791,-61.9753518,-66.5234997,-62.1328791,46.86935377103903,46.708889655618876
1760541662.181302,2025-10-15 17:21:02,48.507796,-62.0046111,-66.5234997,-62.1328791,-62.0046111,-66.5234997,-62.1328791,46.465888110664494,46.67134242311877
1760541662.209819,2025-10-15 17:21:02,48.536313,-62.0046111,-66.5234997,-62.1192615,-62.0046111,-66.5234997,-62.1192615,44.96297345245622,46.52855023897607
1760541662.223819,2025-10-15 17:21:02,48.550313,-62.0046111,-66.343119,-62.1192615,-62.0046111,-66.343119,-62.1192615,44.24603254619121,46.45874334456556
1760541662.231818,2025-10-15 17:21:02,48.558313,-61.9797638,-66.343119,-62.1192615,-61.9797638,-66.343119,-62.1192615,43.842186722878914,46.41892207383148
1760541662.259820,2025-10-15 17:21:02,48.586314,-61.9797638,-66.343119,-62.1043449,-61.9797638,-66.343119,-62.1043449,42.44958304521047,46.27873428807213
1760541662.273820,2025-10-15 17:21:02,48.600314,-61.9797638,-66.6705511,-62.1043449,-61.9797638,-66.6705511,-62.1043449,41.77268405827558,46.20892381280154
1760541662.299385,2025-10-15 17:21:02,48.625879,-61.9583731,-66.6705511,-62.1043449,-61.9583731,-66.6705511,-62.1043449,40.56040629723751,46.0810229671395
1760541662.305897,2025-10-15 17:21:02,48.632391,-61.9583731,-66.6705511,-62.0929306,-61.9583731,-66.6705511,-62.0929306,40.258918553981296,46.048621045728424
1760541662.323897,2025-10-15 17:21:02,48.650391,-61.9583731,-67.648749,-62.0929306,-61.9583731,-67.648749,-62.0929306,39.43452075484018,45.9587656724159
1760541662.352898,2025-10-15 17:21:02,48.679392,-61.9818535,-67.648749,-62.0929306,-61.9818535,-67.648749,-62.0929306,38.1375653678261,45.81352965032288
